residential building	Wohngebäude
building	Gebäude
commercial building	Gewerbebau
building material	Baumaterial
prefabricated buildings	vorgefertigte Gebäude
building construction	Baukonstruktion
building operation	Baubetrieb
construction work	Bauarbeiten
construction	Bauwesen
civil engineering	Tiefbau
civil engineering work	Tiefbauarbeiten
repair of building	Instandsetzung eines Gebäudes
reparing a building	Instandsetzung eines Gebäudes
reconstruction	Wiederaufbau
renovate	renovieren
renovating	renovieren
redevelop	sanieren
remodelling	umgestalten
development of a building project	Entwicklung eines Bauvorhabens
development of a construction project	Entwicklung eines Bauvorhabens
developing a building project	Entwicklung eines Bauvorhabens
developing a construction project	Entwicklung eines Bauvorhabens
construction planning	Bauplanung
building design	Bauplanung
bulding planning	Gebäudeplanung
architectural planning	Architekturplanung
installing lights	Installation von Beleuchtung
installing heating	Heizungsinstallation
installing air-conditioning systems	Installation von Klimasystemen
installing antennas	Installation von Antennen
installing alarm system	Installation von Alarmanlagen
installing sprinkler systems	Installation von Sprinkleranlagen
installing elevators	Einbau von Aufzügen
installing escalators	Installation von Rolltreppen
installing illumination systems	Installation von Beleuchtungsanlagen
installing signalling systems	Installation von Signalsystemen
repairing lights	Reparatur von Beleuchtungen
repairing heating	Reparatur von Heizungen
repairing air-conditioning systems	Reparatur von Klimaanlagen
repairing antennas	Reparatur von Antennen
repairing alarm system	Reparatur von Alarmsystemen
repairing sprinkler systems	Reparatur von Sprinkleranlagen
repairing elevators	Reparatur von Aufzügen
repairing escalators	Reparatur von Rolltreppen
repairing illumination systems	Reparatur von Beleuchtungsanlagen
repairing signalling systems	Reparatur von Signalsystemen
glazing	Verglasung
plastering	Verputzen
painting	Malerei
floor tiling	Bodenfliesen
wall tiling	Wandverkleidungen
floor covering	Bodenbelag
wall covering	Wandverkleidung
floor sanding	Boden schleifen
finish carpentry	Tischlerarbeiten
acoustical work	Akustikarbeiten
cleaning of the exterior	Reinigung des Außenbereichs
roofing	Dacheindeckung
lay current	Strom verlegen
lay electrictiy	Elektrizität verlegen
laying electricity	Strom verlegen
insulation work	Isolierarbeiten
sheet metal work	Spenglerarbeiten
commercial refrigerating work	Gewerbliche Kältetechnik
drill a tunnel	Tunnel bohren
drilling a tunnel	Tunnel bohren
boring a tunnel	Tunnel bohren
bore a tunnel	einen Tunnel bohren
digging the foundation	Ausheben des Fundaments
dig the foundation	das Fundament ausheben
excavate the foundation	Ausheben des Fundaments
excavating the foundation	Ausheben des Fundaments
plumbing	Klempnerarbeiten
pile-driving	Rammarbeiten
foundation work	Fundamentarbeiten
carcass work	Rohbauarbeiten
concrete work	Betonarbeiten
brick laying	Maurerarbeiten
stone setting	Steinsetzen
scaffolding	Gerüstbau
roof covering	Dacheindeckung
erection of steel structures	Errichtung von Stahlkonstruktionen
demolition	Abbrucharbeiten
wrecking	Abbrucharbeiten
earth moving	Erdarbeiten
excavation	Aushub
landfill	Mülldeponie
levelling	Nivellierung
grading of construction sites	Planieren von Baustellen
trench digging	Grabenaushub
rock removal	Felsabtrag
blasting	Sprengungen
Mineral wool insulation	Isolierung aus Mineralwolle
Extruded polystyrene XPS insulation	Isolierung aus extrudiertem Polystyrol XPS
Foam insulation	Schaumstoff-Isolierung
Thermal Insulating bricks	Wärmedämmende Ziegel
Door sweep	Türfeger
Fiber insulation	Faserisolierung
Thermal insulation sleeving	Wärmedämmungsschläuche
Weather stripping	Wetterschutzabdeckungen
Expanded polystyrene EPS insulation	Expandiertes Polystyrol EPS-Dämmung
Thermal insulation kits	Bausätze zur Wärmedämmung
Window film	Fensterfolie
Acoustical insulation	Akustische Isolierung
Heat Shields	Hitzeschutzschilder
Asphalt board sealing layer	Dichtungsschicht aus Asphaltplatten
Plastic sealing layer	Kunststoff-Dichtungsschicht
Rubber sealing layer	Dichtungsschicht aus Gummi
Combination roof bolt and truss	Kombination von Dachbolzen und Binder
Roof plate	Dachplatte
Resin glue capsule or cartridge	Klebstoffkapsel oder -patrone aus Harz
Rib mat	Rippenmatte
Expansion shell	Expansionsgehäuse
Creosote	Kreosot
Bitumen	Bitumen
Coal tar	Steinkohlenteer
Gilsonite	Gilsonit
Manhole frames with covers	Schachtrahmen mit Deckel
Cutback products	Reduzierte Produkte
Asphalt	Asphalt
Pitch	Stellplatz
Geomesh	Geomesh
Bridge rail	Brückengeländer
Concrete slab	Betonplatte
Paving slab	Gehwegplatte
Concrete curb	Bordsteinkante aus Beton
Noise protection board	Lärmschutzplatte
Brick tile	Ziegelfliese
Ungraded crushed rock	Ungeschliffenes gebrochenes Gestein
Paving stone	Pflasterstein
Natural curbstone	Natürliche Bordsteinkante
Post cover	Postabdeckung
Geotextile	Geotextil
Tree grating	Baumroste
Tree protection rod	Baumschutzstange
Greenhouses	Gewächshäuser
Silos	Silos
Houses	Häuser
Mobile homes	Mobilheime
Cabins	Hütten
Garages	Garagen
Gazebo	Gazebo
Home kitchens	Heimküchen
Storage sheds	Lagerschuppen
Spray booths	Spritzkabinen
Guardhouses	Wachhäuser
Clean rooms	Saubere Zimmer
In plant offices	In Betriebsbüros
Warehouses	Lagerhäuser
Auditorium	Auditorium
Office kitchens	Büroküchen
Conservatory	Gewächshaus
Phone box or phone booth	Telefonzelle oder Telefonkabine
Container units	Container-Einheiten
Shelters	Unterstände
Emergency tent halls	Notfall-Zelthallen
Medical units	Medizinische Einheiten
Laboratory units	Laboreinheiten
Dental units	Zahnärztliche Einheiten
Surgical units	Chirurgische Einheiten
Bidets	Bidets
Showers	Duschen
Sinks	Waschbecken
Urinals	Urinale
Bathtub or shower enclosures	Badewannen- oder Duschabtrennungen
Restroom partitions	Trennwände für Toiletten
Toilet bowls	Toilettenschüsseln
Toilet tank covers	Deckel für Toilettentanks
Toilet tanks	Toilettenbehälter
Sauna	Sauna
Whirlpool tub	Whirlwanne
Toilets	Toiletten
Bathtubs	Badewannen
Soap dish	Seifenschale
Soap dispenser	Seifenspender
