,text,user_age,gender,days_on_platform,user_region,label,train_test_split
0,“Worry is a down payment on a problem you may never have'.  Joyce Meyer.  #motivation #leadership #worry,30.73,Male,5614,Americas,optimism,Test
1,My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,42.29,Female,4308,Europe,anger,Test
2,No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu,24.97,Male,2729,Middle East/Africa,happiness,Train
3,"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",21.66,Male,1376,Asia Pacific,anger,Train
4,it's pretty depressing when u hit pan on ur favourite highlighter,35.07,Female,4631,Europe,sadness,Test
5,@user but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,40.45,Female,4324,Europe,anger,Test
6,Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,41.69,Female,1762,Americas,sadness,Test
7,Tiller and breezy should do a collab album. Rapping and singing prolly be fire,37.29,Female,3853,Americas,happiness,Train
8,@user broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,15.39,Female,1831,Europe,anger,Train
9,@user Look at those teef! #growl,54.37,Female,4619,Europe,anger,Train
10,@user @user USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke,35.68,Female,4025,Middle East/Africa,anger,Train
11,#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @user headquarters demanding Pak to stop exporting #terror into India,19.61,Male,5665,Europe,sadness,Test
12,Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.,43.1,Male,2695,Americas,anger,Train
13,What a fucking muppet.  @user  #stalker.,24.91,Male,4965,Americas,anger,Test
14,Autocorrect changes ''em' to 'me' which I resent greatly,39.74,Male,4342,Europe,anger,Test
15,@user I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,40.05,Female,3647,Middle East/Africa,anger,Test
16,@user Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,36.63,Male,1671,Europe,anger,Train
17,I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.,35.77,Male,4400,Europe,optimism,Train
18,@user Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,25.3,Male,4514,Americas,optimism,Test
19,@user @user @user Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted #bully,27.93,Male,2833,Americas,anger,Test
20,Love is when all your happiness and all your sadness and all your feelings are dependent on another person.,24.35,Male,2322,Middle East/Africa,optimism,Test
21,"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",40.53,Male,1355,Middle East/Africa,sadness,Train
